Text,1: WEEV+,2: WEEV-,3: SLEV+,4: SLEV-,5: WNV+,6: WNV-,7: NAM+,8: NAM-
1,1.049820662,0.921644926,0.878919661,0.889600992,5.314717293,5.448996544,0.881971478,0.88044554
2,1.048294783,0.921644926,0.877393782,0.89265281,5.395590305,5.354390621,0.883497357,0.883497357
3,1.048294783,0.921644926,0.877393782,0.889600992,5.331502438,5.168230534,0.883497357,0.883497357
4,1.05134666,0.924696743,0.88044554,0.895704567,5.302510262,5.070572853,0.886549175,0.888075054
5,1.049820662,0.924696743,0.883497357,0.903334081,5.230792522,4.992752075,0.888075054,0.89265281
6,1.048294783,0.926222622,0.885023296,0.90486002,5.20637846,4.911879063,0.891126871,0.89265281
7,1.05134666,0.927748561,0.885023296,0.914015412,5.148394108,4.832532406,0.888075054,0.898756385
8,1.048294783,0.926222622,0.885023296,0.912489533,5.113298416,4.802014351,0.891126871,0.901808202
9,1.048294783,0.92927444,0.886549175,0.920119047,5.133134842,4.751659393,0.891126871,0.90486002
10,1.05134666,0.924696743,0.888075054,0.923170805,5.094987392,4.724193096,0.89265281,0.90486002
11,1.054398417,0.927748561,0.883497357,0.924696743,5.027847767,4.696726799,0.895704567,0.910963595
12,1.052872539,0.930800319,0.888075054,0.927748561,5.020218372,4.678416252,0.898756385,0.912489533
13,1.054398417,0.933852136,0.89265281,0.930800319,5.00038147,4.657053471,0.897230506,0.915541291
14,1.057450175,0.933852136,0.89265281,0.935378015,4.937819481,4.646372318,0.903334081,0.91706723
15,1.055924296,0.935378015,0.89265281,0.936903954,4.989700317,4.631113052,0.90486002,0.923170805
16,1.060502052,0.939955771,0.895704567,0.94148165,4.942397118,4.617380142,0.909437716,0.927748561
17,1.060502052,0.939955771,0.894178689,0.946059346,4.873731613,4.603646755,0.907911777,0.92927444
18,1.062027931,0.946059346,0.897230506,0.947585285,4.928664207,4.592965603,0.910963595,0.932326257
19,1.062027931,0.943007529,0.898756385,0.95368886,4.916456699,4.585336208,0.914015412,0.932326257
20,1.066605687,0.949111164,0.903334081,0.956740677,4.943922997,4.589913845,0.920119047,0.938429832
21,1.069657445,0.943007529,0.900282264,0.956740677,4.951552391,4.576180458,0.920119047,0.933852136
22,1.072709203,0.947585285,0.90486002,0.961318374,4.898146152,4.560921669,0.918593109,0.938429832
23,1.080338717,0.943007529,0.906385899,0.961318374,4.92561245,4.562447548,0.920119047,0.94148165
24,1.083390594,0.947585285,0.906385899,0.964370191,4.892042637,4.547188759,0.923170805,0.943007529
25,1.094071865,0.95368886,0.907911777,0.968947887,4.969863415,4.562447548,0.923170805,0.943007529
26,1.120012164,0.955214798,0.909437716,0.971999705,4.963759899,4.556344032,0.927748561,0.944533467
27,1.153582096,0.956740677,0.914015412,0.975051522,5.027847767,4.542610645,0.927748561,0.947585285
28,1.21004045,0.950637043,0.912489533,0.976577401,5.113298416,4.548714638,0.930800319,0.950637043
29,1.278706074,0.956740677,0.918593109,0.981155097,5.282673359,4.534981251,0.932326257,0.950637043
30,1.376363754,0.959792495,0.91706723,0.982681036,5.607690334,4.547188759,0.935378015,0.95368886
31,1.472495556,0.962844253,0.920119047,0.987258732,6.131074905,4.541084766,0.938429832,0.955214798
32,1.5655756,0.964370191,0.923170805,0.987258732,6.996261597,4.539558887,0.936903954,0.955214798
33,1.657129765,0.967422009,0.926222622,0.99031055,8.139162064,4.539558887,0.94148165,0.959792495
34,1.725795388,0.970473766,0.927748561,0.994888246,9.46517086,4.53650713,0.943007529,0.958266556
35,1.808194041,0.96589607,0.932326257,0.996414125,10.69810009,4.538033009,0.943007529,0.962844253
36,1.852445245,0.975051522,0.935378015,1.000991821,11.94476223,4.541084766,0.946059346,0.962844253
37,1.910429597,0.971999705,0.935378015,0.999465942,12.84962273,4.547188759,0.944533467,0.964370191
38,1.937895775,0.97810328,0.935378015,1.0025177,13.7743187,4.553292274,0.949111164,0.970473766
39,1.96841383,0.979629219,0.938429832,1.007095456,14.20767498,4.560921669,0.952162981,0.967422009
40,1.988250494,0.984206915,0.94148165,1.008621335,14.39230919,4.567025185,0.958266556,0.971999705
41,2.006561279,0.982681036,0.946059346,1.013199091,14.67917919,4.571602821,0.958266556,0.975051522
42,2.023346186,0.988784611,0.947585285,1.017776728,15.08659458,4.576180458,0.962844253,0.970473766
43,2.032501698,0.991836429,0.952162981,1.019302607,15.15983868,4.589913845,0.961318374,0.976577401
44,2.041657209,0.993362308,0.955214798,1.023880363,15.18425274,4.592965603,0.962844253,0.979629219
45,2.044708967,0.996414125,0.956740677,1.028458118,15.13847542,4.594491482,0.967422009,0.981155097
46,2.050812483,0.999465942,0.958266556,1.02693212,15.3505764,4.602120876,0.96589607,0.984206915
47,2.050812483,0.999465942,0.956740677,1.028458118,15.33989429,4.615854263,0.967422009,0.981155097
48,2.056916237,0.999465942,0.961318374,1.029983997,15.35973167,4.606698513,0.967422009,0.984206915
49,2.063019753,1.008621335,0.96589607,1.033035755,15.44213009,4.623483658,0.973525584,0.984206915
50,2.064545631,1.004043698,0.96589607,1.031509876,15.39635277,4.626535416,0.968947887,0.985732794
