Text,1: 1x,2: 10x,3: 100x,4: 1000x,5: Neg
1,5.59090566635132,5.84267950057983,5.9113450050354,5.80758380889893,5.73128843307495
2,5.76791048049927,5.94644069671631,6.02426195144653,5.9174485206604,5.81063556671143
3,5.87014579772949,6.02731370925903,6.1020827293396,5.98306226730347,5.87472343444824
4,5.95712232589722,6.10971260070801,6.17837810516357,6.08224630355835,5.99374389648438
5,6.04562425613403,6.19516277313232,6.26535415649414,6.17380046844482,6.05630588531494
6,6.08834981918335,6.23178434371948,6.2714581489563,6.23178434371948,6.1051344871521
7,6.12802314758301,6.29434633255005,6.2958722114563,6.2684063911438,6.17227458953857
8,6.14023017883301,6.33859777450562,6.31418323516846,6.34012365341187,6.22415494918823
9,6.18142986297607,6.39658212661743,6.36758995056152,6.42099618911743,6.30655384063721
10,6.17990398406982,6.43930721282959,6.36911582946777,6.4560923576355,6.30045032501221
11,6.18448162078857,6.4682993888855,6.38284873962402,6.45761823654175,6.35690832138062
12,6.21957731246948,6.51865434646606,6.41947031021118,6.51255035400391,6.39505624771118
13,6.22873258590698,6.51865434646606,6.41641855239868,6.52170610427856,6.41031503677368
14,6.25619888305664,6.56595706939697,6.44388484954834,6.59037160873413,6.44846248626709
15,6.25925064086914,6.55069828033447,6.43625545501709,6.56748294830322,6.41947031021118
16,6.27298402786255,6.56748294830322,6.41489267349243,6.56443119049072,6.41489267349243
17,6.28824281692505,6.55222415924072,6.41184091567993,6.57969045639038,6.41031503677368
18,6.2745099067688,6.52780961990356,6.38437461853027,6.54764652252197,6.37216758728027
19,6.31876087188721,6.54764652252197,6.36758995056152,6.55222415924072,6.38742637634277
20,6.34775304794312,6.56748294830322,6.38132286071777,6.57206058502197,6.36911582946777
21,6.42404842376709,6.58426809310913,6.40573740005493,6.57969045639038,6.38895225524902
22,6.49576568603516,6.55680179595947,6.36758995056152,6.52628374099731,6.34012365341187
23,6.68345165252686,6.56900882720947,6.36301231384277,6.4805064201355,6.30960559844971
24,7.09544515609741,6.59037160873413,6.38437461853027,6.50034332275391,6.31876087188721
25,7.82482624053955,6.58121633529663,6.37521934509277,6.42252254486084,6.27298402786255
26,9.36293601989746,6.71396970748901,6.40878915786743,6.42252254486084,6.30045032501221
27,12.0347909927368,6.8696117401123,6.43320369720459,6.40573740005493,6.25925064086914
28,16.4736404418945,7.18242168426514,6.43167781829834,6.35080480575561,6.21805143356323
29,24.3503475189209,7.95147609710693,6.55985355377197,6.39200448989868,6.17227458953857
30,34.5571060180664,9.43160152435303,6.83299016952515,6.50034332275391,6.19821453094482
31,45.2994575500488,12.0454721450806,7.20073223114014,6.62088966369629,6.16617059707642
32,54.2610816955566,16.6552219390869,7.93163967132568,6.85130071640015,6.07309055328369
33,59.2584114074707,23.8712139129639,9.44838619232178,7.38994407653809,6.07461643218994
34,63.8376426696777,33.3485908508301,12.3247117996216,8.55725955963135,6.04867649078369
35,66.2043151855469,42.8412284851074,17.2350654602051,10.6858930587769,6.07919454574585
36,67.421989440918,50.2784767150879,24.7028312683105,14.3312730789185,6.04409837722778
37,67.9102783203125,54.9858856201172,34.0901794433594,20.2258338928223,6.01510620117187
38,68.3527908325195,57.9003601074219,43.2104988098145,28.5786228179932,6.01205444335938
39,68.2291870117187,59.708553314209,50.2815284729004,37.5677108764648,5.92202663421631
40,68.3848342895508,60.7568473815918,54.7508964538574,45.0293731689453,5.92202663421631

