cons,inst,lot
80b14b4a-b732-4dea-9966-15ff490d6e1d,617,TKM-3868
69ea8c27-f91b-49e1-8d4a-d2a7e7fe480f,617,TKM-3868
3755bd42-513d-4f7e-a5f4-a8ccfd49c419,617,TKM-3868
b3d4b3af-fdc8-486a-8014-0a2a4a4a5dde,617,TKM-3868
251fac72-43a7-4a9a-8631-dbef0513ed91,617,TKM-3868
19b95328-db1b-47cc-a5aa-635fbebb7f0c,617,TKM-3868
d89d5cd9-e63d-4558-ab0a-c9c148633097,617,TKM-3868
e387dbeb-1887-4797-9743-eace921f6a4b,617,TKM-3868
458ee809-ed0c-46b7-b940-54a907ce02b7,620,TKM-3868
7691583f-8aec-4b15-856e-36423d9e0c44,620,TKM-3868
3e501265-34a7-4a66-abb5-1a0c590a16ea,620,TKM-3868
abacd712-2535-4035-b032-826eb73b7f5e,620,TKM-3868
bc9ca263-5c98-4ed9-a695-7a0e86a69c44,620,TKM-3868
d68eb967-7b42-44f6-b346-a1eeb9442067,620,TKM-3868
dddc8e9f-1d1a-46ca-b158-c60c17786275,620,TKM-3868
f3e04e0c-3b6c-4a7a-ac56-66ab2cc19fdf,620,TKM-3868
7fc95be9-4449-4611-b544-3e926a03dc65,622,TKM-3868
ffaa6a1f-692e-48c6-9d1a-9ba7b45f4f2d,622,TKM-3868
26363a6b-b229-4af1-bdeb-a5b2f16d740b,622,TKM-3868
21bdcfa9-4147-4d29-933a-bf10bc35f0db,622,TKM-3868
d571219c-360e-4f44-b540-68837d23f49a,622,TKM-3868
85523234-3130-4280-99b9-486f51c22ce5,622,TKM-3868
546fe9c1-7f22-4aa7-ad9a-a2c83096c1ab,642,TKM-3868
4ef7244d-09dc-4f15-8bf9-8c42fe96d99f,642,TKM-3868
63d2731b-08ef-4264-86fc-7764dbc7e7f2,642,TKM-3868
2eab7217-34f5-46da-b55a-306a5ea4dad7,642,TKM-3868
914d67ef-7f8a-4cb5-9a93-f9d1449f7fa6,642,TKM-3868
cf9cda87-3a8b-43ab-90c6-d313485494e9,642,TKM-3868
0b0723e0-a7cd-4135-a09a-e08f18e7ff01,642,TKM-3868
830005d2-2ab3-4712-a467-07ef3bbe65d2,675,TKM-3868
8df91fef-332f-4922-9b9d-88821d32060f,675,TKM-3868
28dd270e-48d2-4a32-9dfc-e8bc4feaa867,675,TKM-3868
a937c660-aaeb-46ec-9a22-2061d588d706,675,TKM-3868
bbb18328-e8de-489f-97f9-57f137a7992f,675,TKM-3868
c0858c56-8c1c-413b-96d0-b99da3a5dd60,675,TKM-3868
dbfd2e38-88e7-47c3-899e-805ab1d1c237,675,TKM-3868
e8230c89-585b-4557-9939-6430569324bd,675,TKM-3868
